amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
465.39,0,Food,0,0,64,0,29,0
48.47,4,Food,0,0,58,4,55,0
55.76,4,Electronics,1,0,76,1,51,0
56.44,9,Clothing,0,0,97,3,42,0
8.78,9,Clothing,0,0,46,1,33,0
24.49,17,Grocery,1,0,96,5,53,0
193.61,17,Travel,1,0,77,2,20,0
51.37,6,Food,0,0,49,0,27,0
487.66,7,Electronics,0,0,89,3,58,0
152.71,0,Travel,0,0,94,4,40,0
42.59,2,Food,0,1,46,2,25,0
169.59,17,Travel,0,1,33,1,43,0
132.63,0,Food,1,0,91,1,43,0
316.41,4,Food,0,1,81,3,29,0
32.33,23,Travel,0,0,48,3,42,0
175.83,18,Electronics,0,0,79,2,20,0
79.72,0,Food,0,0,38,0,44,0
103.15,20,Grocery,1,0,68,5,49,0
303.67,16,Grocery,0,0,45,2,33,0
518.16,20,Electronics,0,0,30,2,19,0
68.69,8,Electronics,0,0,28,0,38,0
31.46,18,Electronics,1,0,84,2,21,0
117.9,13,Clothing,0,0,74,2,61,0
364.49,13,Food,0,0,93,2,29,0
403.93,12,Clothing,0,0,45,1,18,0
116.04,17,Electronics,0,0,62,4,31,0
444.6,11,Clothing,0,0,50,2,67,0
119.03,12,Electronics,0,0,92,3,56,0
436.61,20,Grocery,0,0,44,1,59,0
78.77,13,Grocery,0,0,33,1,19,0
23.68,21,Electronics,0,0,41,1,48,0
1209.52,3,Clothing,0,0,68,3,51,0
230.6,7,Travel,1,0,88,2,42,0
10.58,12,Electronics,0,0,35,1,30,0
226.15,21,Electronics,1,0,34,0,43,0
138.38,22,Grocery,0,0,94,2,23,0
63.0,15,Clothing,0,1,64,2,31,0
211.78,17,Travel,0,0,47,2,41,0
97.54,6,Electronics,0,0,47,1,51,0
94.87,12,Travel,0,0,71,2,61,0
204.88,12,Electronics,0,0,89,1,19,0
482.54,21,Food,0,0,56,3,56,0
135.86,0,Food,0,1,81,3,24,0
43.47,19,Food,0,0,80,0,62,0
25.14,23,Food,0,0,38,2,24,0
305.81,2,Electronics,0,0,69,0,19,0
44.17,16,Clothing,0,0,78,3,49,0
7.21,22,Electronics,0,0,79,1,61,0
24.47,17,Travel,0,0,56,2,56,0
477.14,21,Travel,0,0,70,2,25,0
111.1,7,Travel,0,1,46,2,67,0
187.85,22,Travel,0,0,28,2,45,0
48.82,9,Grocery,0,0,96,3,35,0
348.45,8,Travel,0,0,75,1,35,0
24.23,7,Clothing,0,0,66,1,30,0
163.64,12,Clothing,1,0,90,3,21,0
289.75,21,Grocery,0,0,41,2,22,0
36.0,8,Food,0,0,81,1,29,0
129.83,18,Electronics,1,0,74,2,57,0
14.97,19,Clothing,0,0,61,1,46,0
56.6,13,Food,0,0,45,2,28,0
112.79,7,Clothing,0,0,97,1,39,0
240.09,7,Electronics,0,0,35,2,65,0
251.32,17,Grocery,0,0,48,1,38,0
105.11,23,Food,1,1,84,3,47,0
157.32,16,Grocery,0,0,63,2,21,0
301.23,12,Clothing,0,0,49,1,59,0
29.38,19,Clothing,0,0,86,1,66,0
361.83,5,Travel,0,0,56,2,39,0
21.06,0,Food,0,0,42,4,27,0
144.2,23,Grocery,0,0,59,1,19,0
322.04,11,Clothing,0,0,84,5,68,0
53.51,15,Electronics,0,1,26,4,59,0
500.41,22,Grocery,0,0,95,2,34,0
66.89,2,Grocery,0,0,77,1,31,0
259.54,5,Grocery,0,0,97,2,52,0
304.54,8,Electronics,0,0,87,1,50,0
34.31,2,Travel,0,0,99,2,50,0
88.87,11,Travel,0,0,89,3,26,0
50.79,5,Grocery,0,0,82,0,54,0
94.18,15,Electronics,0,0,80,1,42,0
39.74,21,Food,0,0,34,3,27,0
111.79,12,Food,0,0,29,2,35,0
16.33,14,Grocery,0,0,40,4,67,0
71.61,5,Food,1,0,63,1,34,0
194.29,4,Electronics,0,0,46,1,21,0
320.63,13,Travel,0,0,69,2,63,0
118.41,1,Travel,0,0,77,4,59,0
177.14,17,Electronics,0,0,74,5,65,0
74.96,23,Food,0,0,97,2,32,0
332.74,18,Travel,0,0,60,0,67,0
209.63,21,Food,0,0,47,1,49,0
317.59,12,Electronics,0,0,92,2,28,0
82.36,3,Travel,0,1,59,0,33,0
101.94,16,Food,0,0,60,2,63,0
140.01,17,Travel,0,0,95,0,27,0
93.1,23,Clothing,0,0,26,1,56,0
211.81,17,Grocery,0,0,32,2,37,0
51.76,12,Electronics,0,0,30,1,67,0
231.71,22,Grocery,0,0,57,1,59,0
509.33,14,Grocery,0,0,53,3,56,0
186.78,16,Travel,0,0,28,1,24,0
372.32,10,Travel,0,0,51,3,47,0
165.36,17,Electronics,0,0,50,1,69,0
51.45,19,Food,0,0,39,1,27,0
6.14,1,Travel,0,0,49,0,65,0
252.41,6,Grocery,0,0,25,2,56,0
135.88,23,Clothing,0,0,61,0,28,0
14.42,23,Clothing,0,0,37,3,47,0
109.92,1,Grocery,0,0,43,0,42,0
57.05,2,Clothing,0,0,29,0,58,0
45.21,13,Grocery,0,0,40,2,40,0
15.96,16,Food,0,0,30,1,39,0
1001.1,0,Grocery,0,0,64,4,32,0
35.38,19,Electronics,0,0,89,1,18,0
32.92,2,Clothing,0,0,57,4,40,0
313.87,21,Electronics,0,0,75,1,68,0
32.26,2,Travel,0,0,50,2,41,0
594.52,23,Travel,0,0,68,0,54,0
197.64,13,Electronics,0,0,39,1,48,0
123.15,8,Travel,0,0,75,1,67,0
68.6,5,Electronics,0,0,74,1,54,0
26.81,8,Food,0,0,96,7,25,0
389.08,17,Clothing,0,0,81,4,67,0
145.8,15,Electronics,0,0,85,2,33,0
11.43,8,Clothing,0,0,29,4,44,0
182.24,13,Electronics,0,0,39,4,28,0
355.2,19,Food,0,0,35,2,40,0
18.86,7,Travel,0,0,80,4,59,0
19.9,16,Grocery,0,0,77,4,57,0
68.39,17,Electronics,0,0,74,7,30,0
24.83,18,Travel,0,1,47,0,57,0
200.11,12,Travel,0,0,27,3,40,0
65.65,11,Electronics,0,0,61,4,54,0
60.9,21,Grocery,0,0,76,6,39,0
144.82,3,Electronics,0,0,58,0,48,0
409.79,20,Clothing,0,0,93,4,62,0
2.2,2,Travel,0,0,56,0,44,0
1.24,17,Electronics,0,0,85,1,32,0
38.7,17,Grocery,1,0,60,2,60,0
113.95,19,Travel,0,0,41,4,34,0
192.38,2,Travel,0,0,39,2,23,0
19.73,16,Travel,0,0,27,3,67,0
14.42,15,Food,0,0,40,2,53,0
402.44,19,Travel,0,0,88,1,43,0
132.24,8,Travel,1,0,44,3,18,0
289.76,5,Grocery,0,0,63,2,48,0
297.43,14,Travel,0,0,98,1,62,0
31.75,16,Travel,0,0,58,1,18,0
832.98,22,Travel,0,0,28,4,65,0
0.02,17,Grocery,0,0,37,4,50,0
221.48,14,Clothing,0,0,95,4,64,0
58.69,11,Food,0,0,99,1,42,0
8.08,10,Clothing,0,0,67,0,50,0
154.95,9,Electronics,0,1,59,1,58,0
89.91,0,Electronics,0,0,56,1,39,0
29.0,17,Electronics,0,1,26,2,42,0
32.16,21,Clothing,0,0,59,1,40,0
50.5,17,Grocery,0,0,33,1,47,0
116.79,4,Grocery,1,0,36,1,47,0
192.46,5,Clothing,0,0,31,2,27,0
529.05,1,Food,0,0,55,1,22,0
28.5,7,Electronics,1,0,69,3,37,0
166.65,7,Travel,0,0,52,1,56,0
16.01,0,Travel,0,0,72,1,64,0
442.48,19,Clothing,0,0,89,1,51,0
26.06,16,Travel,0,1,71,3,65,0
63.03,0,Food,0,0,75,2,61,0
249.65,14,Grocery,0,0,41,4,47,0
28.9,18,Travel,1,0,82,2,43,0
331.7,0,Clothing,0,0,58,1,41,0
30.46,10,Electronics,0,0,72,0,33,0
38.45,1,Clothing,0,0,40,1,26,0
241.02,7,Travel,0,0,28,2,36,0
50.35,1,Food,0,0,38,1,62,0
339.59,5,Travel,0,0,84,3,29,0
431.88,13,Grocery,0,0,96,4,62,0
126.17,6,Clothing,0,0,59,0,34,0
334.66,16,Clothing,0,0,62,1,33,0
146.88,5,Travel,0,0,48,3,33,0
295.17,19,Electronics,0,0,97,2,48,0
53.62,22,Electronics,0,0,49,1,41,0
768.73,3,Food,0,0,30,2,20,0
52.22,20,Travel,0,1,27,0,47,0
43.57,12,Clothing,0,0,25,3,66,0
287.83,0,Travel,0,0,33,0,49,0
110.77,18,Food,0,0,34,2,19,0
433.32,21,Travel,0,0,38,1,32,0
196.21,17,Grocery,0,1,53,1,59,0
184.44,4,Travel,0,0,85,0,66,0
77.7,3,Food,0,0,97,0,58,0
128.0,22,Clothing,0,0,53,2,46,0
85.78,8,Travel,0,0,55,5,55,0
60.26,9,Travel,1,0,79,1,34,0
9.1,18,Clothing,0,0,41,1,29,0
47.58,1,Clothing,1,0,33,0,41,1
325.9,12,Electronics,0,0,85,3,28,0
126.54,5,Grocery,0,0,48,3,57,0
114.68,8,Electronics,0,0,43,2,46,0
0.79,0,Food,1,0,74,3,56,0
27.49,11,Clothing,0,0,85,3,57,0
0.76,22,Grocery,0,0,89,2,25,0
22.46,3,Travel,0,0,95,2,29,0
9.77,18,Grocery,0,0,25,2,36,0
